id,user_id,title,message,type,is_read,created_at
77,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:08"
78,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:32"
79,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:36"
80,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:41"
81,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:46"
82,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:51"
83,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:00:55"
84,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:30"
85,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:34"
86,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:38"
87,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:43"
88,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:46"
89,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:01:51"
90,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:02:50"
91,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:02:54"
92,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:02:59"
93,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:03:03"
94,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:03:06"
95,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:03:10"
96,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:04:46"
97,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:04:51"
98,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:04:55"
99,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:04:59"
100,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:03"
101,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:08"
102,5,"Test Notification","This is a test alert from AquaTrack. If you received this, your notification channels are working.",system,1,"2026-02-09 19:05:12"
103,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:18"
104,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:22"
105,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:28"
106,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:32"
107,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:36"
108,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:05:40"
109,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:16:51"
110,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:16:55"
111,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:17:01"
112,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:17:06"
113,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:17:11"
114,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:17:14"
115,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:35"
116,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:40"
117,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:45"
